isogroup35818	GO:0005737;GO:0005794;GO:0005634;GO:0005876;GO:0004869;GO:0004842;GO:0008270;GO:0006915;GO:1990001;GO:0090307;GO:0043066;GO:0016567;GO:0042127;GO:0070247;GO:0009966
isogroup20496	GO:0005739;GO:0050459;GO:0042802;GO:0030170;GO:0008483;GO:0035162
isogroup19679	GO:0005789;GO:0033116;GO:0070062;GO:0016021;GO:0033180;GO:0005524;GO:0046933;GO:0046961;GO:0017137;GO:0015991;GO:0051656;GO:0045851;GO:0045780;GO:0070374;GO:0045921;GO:0045669;GO:2001206
isogroup17144	GO:0070847;GO:0016592;GO:0001104;GO:0036302;GO:1905072;GO:0006351
isogroup12777	GO:0030430;GO:0098015;GO:0046718;GO:0019076
isogroup23395	GO:0030426;GO:0043025;GO:0005634;GO:0005681;GO:0003729;GO:0000166;GO:0036002;GO:0021549;GO:0006376;GO:0033119;GO:2000177;GO:0021510
isogroup09285	GO:0000781;GO:0005634;GO:0030915;GO:0016874;GO:0004842;GO:0008270;GO:0000724;GO:0035556;GO:2001022;GO:0006301;GO:0016567
isogroup25753	GO:0000118;GO:0016605;GO:0003682;GO:0001105;GO:0001106;GO:0043565;GO:0003700;GO:0008270;GO:0048755;GO:0021930;GO:0021691;GO:0006338;GO:0048813;GO:0021942
isogroup22458	GO:0005829;GO:0004068;GO:0016831;GO:0030170;GO:0004782;GO:0008652
isogroup30978	GO:0005737;GO:0070062
isogroup05885	GO:0005783;GO:0005789;GO:0000139;GO:0016021;GO:0005634;GO:0050614;GO:0019899;GO:0050660;GO:0016614;GO:0042605;GO:0006695;GO:0043066;GO:0043154;GO:0006979;GO:0043588;GO:0009888
isogroup00104	GO:0005737;GO:0036132;GO:0047522;GO:0032440;GO:0008270;GO:0097327
isogroup12505	GO:0005737;GO:0005856;GO:0004871;GO:0034333;GO:0007155
isogroup01284	GO:0005938;GO:0005737;GO:0031410;GO:0016591;GO:0031941;GO:0005794;GO:0016459;GO:0031965;GO:0005654;GO:0005634;GO:0048471;GO:0001726;GO:0051015;GO:0043531;GO:0005524;GO:0005516;GO:0003774;GO:0030048;GO:0030330;GO:0006897;GO:0006886;GO:0045944;GO:0051046;GO:0007605
isogroup20881	GO:0009986;GO:0005737;GO:0005769;GO:0070062;GO:0005887;GO:0016020;GO:0005743;GO:0005739;GO:0043209;GO:0005654;GO:0005634;GO:0005886;GO:0001850;GO:0001851;GO:0019899;GO:0042826;GO:0008022;GO:0031871;GO:0000981;GO:0044212;GO:0071354;GO:0071897;GO:0016575;GO:0007005;GO:0060766;GO:0030308;GO:0008285;GO:0070373;GO:2000323;GO:0042177;GO:0010944;GO:0000122;GO:0045892;GO:0001649;GO:0010942;GO:0045917;GO:0070374;GO:0045745;GO:0010628;GO:0045893;GO:0050847;GO:0050821;GO:0042981;GO:0006355;GO:0007165
isogroup15246	GO:0031966;GO:0005747;GO:0008137;GO:0003954;GO:0030308;GO:2001243;GO:0072593
isogroup13896	GO:0005737;GO:0043231;GO:0030670;GO:0055037;GO:0017137;GO:0070164;GO:0015031;GO:0045055
isogroup13745	GO:0005829;GO:0010008;GO:0005770;GO:0031902;GO:0005765;GO:0005525;GO:0003924;GO:0045022;GO:0008333;GO:0016042;GO:0045732;GO:0048524;GO:0006622;GO:0007264;GO:0016032
isogroup07310	GO:0005737;GO:0000932;GO:0010494;GO:0005875;GO:0043186;GO:0005524;GO:0004004;GO:0003723;GO:0033962;GO:0035195;GO:0046959;GO:0007095;GO:0030707;GO:0007279;GO:0050688;GO:0010906;GO:0090328;GO:0010501
isogroup03060	GO:0005789;GO:0016021;GO:0016491
isogroup05853	GO:0005694;GO:0005634;GO:0046975;GO:0018024;GO:0001525;GO:0035441;GO:0060977;GO:0048701;GO:0048568;GO:0060669;GO:0030900;GO:0097676;GO:0010452;GO:0097198;GO:0048332;GO:0006298;GO:0001763;GO:0001843;GO:0034728;GO:0018023;GO:0060039;GO:0010468;GO:0010793;GO:0006355;GO:0048864;GO:0006368;GO:0001570
isogroup11161	GO:0005829;GO:0005635;GO:0005049;GO:0007589;GO:0006611;GO:0006606
isogroup18897	GO:0012505;GO:0005622;GO:0005096;GO:0017137;GO:0090630;GO:0006886;GO:0031338
isogroup13666	GO:0042645;GO:0005739;GO:0035770;GO:0004672;GO:0019843;GO:0045333;GO:0000963;GO:0006397
isogroup13662	GO:0030956;GO:0005739;GO:0005524;GO:0050567;GO:0070681;GO:0032543
isogroup05955	GO:0031010;GO:0005634;GO:0042802;GO:0051287;GO:0016616;GO:0042803;GO:0070491;GO:0003713;GO:0003714;GO:0008134;GO:0043044;GO:0022416;GO:0001700;GO:0000122;GO:0045892;GO:0046427;GO:0006357;GO:0006355;GO:0030111;GO:0016360;GO:0019233;GO:0006351;GO:0035220;GO:0016055
isogroup14618	GO:0005737;GO:0005874;GO:0005524;GO:0003777;GO:0007018
isogroup32685	GO:0005737;GO:0005634;GO:0016442;GO:0070578;GO:0005524;GO:0004530;GO:0004386;GO:0046872;GO:0004525;GO:0003723;GO:0006309;GO:0031054;GO:0030422;GO:0030423
isogroup31220	GO:0016020;GO:0005730;GO:0005524;GO:0004004;GO:0044822;GO:0010976;GO:0010501;GO:0006364
isogroup00353	
isogroup24434	GO:0022627;GO:0030529;GO:1990932;GO:0003735;GO:0045903;GO:0006412
isogroup13291	GO:0005634;GO:0022008
isogroup04480	GO:0005634;GO:0003677;GO:0051287;GO:0003950;GO:0008270;GO:0006471
isogroup01814	GO:0005737;GO:0030286;GO:0005874;GO:0031514;GO:0003774;GO:0007017
isogroup09572	GO:0030424;GO:0030425;GO:0016021;GO:0005887;GO:0005622;GO:0016020;GO:0004016;GO:0005524;GO:0046872;GO:0071880;GO:0007189;GO:0007193;GO:0006171;GO:0019933
isogroup08102	GO:0071565;GO:0071564;GO:0000790;GO:0005654;GO:0043234;GO:0016514;GO:0001741;GO:0003682;GO:0003677;GO:0047485;GO:0003713;GO:0009887;GO:0043044;GO:0006338;GO:0016569;GO:0008286;GO:0032435;GO:0007399;GO:0006337;GO:0045944;GO:0045893;GO:0030850;GO:0006357;GO:0006351
